id;screen_name;created_at;fav;rt;text;media1;media2;media3;media4;compound;neg;neu;pos
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1627453557925466112"", ""1627453557925466112"")";petrogustavo;19/02/2023;7178;2269;Condeno el secuestro del sargento Libey Danilo Bravo del Ejército Nacional. Estos son hechos que sabotean cualquier posibilidad de paz. Estos hechos de violencia contra la Fuerza Pública y los que día a día padecen las comunidades no pueden tener cabida en nuestra sociedad.;;;;;-296;51;949;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626978613202456576"", ""1626978613202456576"")";petrogustavo;18/02/2023;7006;2078;Estuve reunido con @BruceMacMaster. Sostuvimos un diálogo constructivo sobre las transformaciones sociales que propone el gobierno y recibí sus comentarios sobre las reformas. Trabajaremos conjuntamente en la construcción de las mismas.;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626746254628732936"", ""1626746254628732936"")";petrogustavo;18/02/2023;4488;1968;Excelente análisis. https://t.co/qvvSkBCZZt;"=HYPERLINK(""http://pbs.twimg.com/media/FpNdF-SXoAIxSum.jpg"", ""http://pbs.twimg.com/media/FpNdF-SXoAIxSum.jpg"")";;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626742088862769152"", ""1626742088862769152"")";petrogustavo;18/02/2023;1615;624;adicionamos 700.000 millones de pesos para programas sociales de los soldados y patrulleros de la fuerza pública.;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626739118087569408"", ""1626739118087569408"")";petrogustavo;18/02/2023;5930;2252;Van 600.000 millones adicionales para programas sociales para los soldados y los patrulleros de nuestras fuerzas militares y nuestra policía en este 2023. https://t.co/GEKMuXLlZG;"=HYPERLINK(""https://video.twimg.com/ext_tw_video/1626739063804788739/pu/vid/640x352/S7c32afuUxn8kgWJ.mp4?tag=12"", ""https://video.twimg.com/ext_tw_video/1626739063804788739/pu/vid/640x352/S7c32afuUxn8kgWJ.mp4?tag=12"")";;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626738073600987136"", ""1626738073600987136"")";petrogustavo;18/02/2023;10816;4593;Aqui hay una agresión contra una mujer periodista que le solicito a la fiscalía investigar. https://t.co/LvQ1oGqxIB;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626730331943362560"", ""1626730331943362560"")";petrogustavo;17/02/2023;4220;1373;Puesto 29 entre todas las naciones en transición energética. No estamos mal pero hay que acelerar. https://t.co/q0rRA3wVwm;;;;;-296;121;879;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626729748859691008"", ""1626729748859691008"")";petrogustavo;17/02/2023;2720;1235;"¿Qué tal este informe de expertos de Naciones Unidas? ¿Acaso no reafirma nuestra tesis?.
 https://t.co/LMu2e8zD8q";;;;;-3736;155;845;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626709622252883968"", ""1626709622252883968"")";petrogustavo;17/02/2023;10711;2044;Agradezco a la ciudadanía de Pereira su apoyo https://t.co/gRhcL7WcBC;"=HYPERLINK(""http://pbs.twimg.com/media/FpM7xq4XsAE79dA.jpg"", ""http://pbs.twimg.com/media/FpM7xq4XsAE79dA.jpg"")";;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626653471217750032"", ""1626653471217750032"")";petrogustavo;17/02/2023;9974;3210;Con los oficiales de todas las armas de la Fuerza Pública. Dicto conferencia en la Universidad Militar sobre la estrategia de seguridad en el nuevo contexto mundial. https://t.co/qkLkyAKzI7;"=HYPERLINK(""http://pbs.twimg.com/media/FpMItQuXEAM6BR-.jpg"", ""http://pbs.twimg.com/media/FpMItQuXEAM6BR-.jpg"")";;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626648419719647247"", ""1626648419719647247"")";petrogustavo;17/02/2023;6610;2743;Que ganas de tergiversar, señored @ENTERCO el que organizaciones populares puedan poner redes de conectividad o energéticas no excluye a los otros operadores. Dejen de decir cosas que no he dicho https://t.co/W3ogD9gJHT;;;;;-5267;136;864;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626591561453809664"", ""1626591561453809664"")";petrogustavo;17/02/2023;3804;1571;Mentiras y más mentiras. Los sistemas de salud preventiva con énfasis en la atención primaria territorializada existen en la mayor parte de los países del mundo. Solo miren España como ejemplo. https://t.co/Ni5jvfAhSv;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626588170589704194"", ""1626588170589704194"")";petrogustavo;17/02/2023;1795;652;Que bien que comience el debate sobre nuestras propuestas de comunidades de conectividad y comunidades energéticas que la organización popular puede impulsar y que pueden ser contratadas por el Estado. https://t.co/l8ziUS0Wlx;;;;;4215;0;909;91
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626586997900062723"", ""1626586997900062723"")";petrogustavo;17/02/2023;6742;1925;"El Sahara será el gran proveedor de energía limpia de Europa. América del Sur puede serlo de los EEUU.  Una nueva reconfiguración económica aparece. Es la hora del cambio.

Es posible industrializar a Colombia alrededor de la energía limpia.
 https://t.co/uej71AbNJe";;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626585533748252675"", ""1626585533748252675"")";petrogustavo;17/02/2023;7744;2129;"Queremos que las marcas que quieran importar vehiculos eléctricos a Colombia, usen partes nacionales e impulsen la producción del vehículo eléctrico en Colombia.

El gobierno ayudará a cambiar la flota de taxis en el país por taxis eléctricos. https://t.co/96aUPOOtPe";;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626584511625711624"", ""1626584511625711624"")";petrogustavo;17/02/2023;1761;645;"El neoliberalismo como ideología más que económica no se aplica ya ni en los EEUU. Es hora del cambio.
 https://t.co/T2VtMco2iD";;;;;-296;104;896;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626580181635977217"", ""1626580181635977217"")";petrogustavo;17/02/2023;9003;3928;Este es el noticiero informativo de la Presidencia. Pueden agregarlo y obtener otra fuente de información. https://t.co/txvsi5mfIp;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626389208129470467"", ""1626389208129470467"")";petrogustavo;17/02/2023;2836;876;"A ningúna persona se le pueden quitar sus derechos políticos sino por sentencia de juez penal

Este que es el artículo 23 de la Convención americana debe ser acatado por el Estado colonbiano

Presentaremos proyecto de ley al respecto ojalá en consenso con la actual procuraduría";;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626389205101301760"", ""1626389205101301760"")";petrogustavo;17/02/2023;5959;2007;"Como lo hemos defendido Procuraduría, por ser autoridad administrativa no puede quitar derechos políticos, como lo prohibe el art 23 de la Convención Americana que es parte de la Constitución

Lástima que Corte Constitucional restrinja esa prohibición solo a funcionarios elegidos";;;;;-296;53;947;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626347985041821697"", ""1626347985041821697"")";petrogustavo;16/02/2023;17500;6210;Firmado el acuerdo parcial de comercio y de protección de inversiones entre la República Bolivariana de Venezuela y la República de Colombia. https://t.co/lwYQF408FV;"=HYPERLINK(""http://pbs.twimg.com/media/FpHy3ouXgAAHvOE.jpg"", ""http://pbs.twimg.com/media/FpHy3ouXgAAHvOE.jpg"")";;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626347642505535489"", ""1626347642505535489"")";petrogustavo;16/02/2023;2558;933;Con las acciones comunales del Norte de Santander dialogando sobre como abrir la contratación estatal a la organización popular y como construir comunidades energéticas y de conectividad. https://t.co/FLCVA2MtsO;"=HYPERLINK(""http://pbs.twimg.com/media/FpHyYKPWAAQvq0j.jpg"", ""http://pbs.twimg.com/media/FpHyYKPWAAQvq0j.jpg"")";;;;4215;0;896;104
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626303868073046030"", ""1626303868073046030"")";petrogustavo;16/02/2023;2313;672;Con las juntas de acción comunal de la ciudad de Cúcuta. https://t.co/Mu0yKRzdrm;"=HYPERLINK(""http://pbs.twimg.com/media/FpHKvkgXsAAS6bU.jpg"", ""http://pbs.twimg.com/media/FpHKvkgXsAAS6bU.jpg"")";;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626271599279194113"", ""1626271599279194113"")";petrogustavo;16/02/2023;5362;1588;¿No es lo mismo que sucedió en Brasil? https://t.co/pKgG9BgbP8;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1626237576947568643"", ""1626237576947568643"")";petrogustavo;16/02/2023;28788;6185;Mi oposición no rechaza esto. Quizás no entiende lo que significa. https://t.co/sMIgzxPqiT;"=HYPERLINK(""http://pbs.twimg.com/media/FpGOdAMaMAADbmg.jpg"", ""http://pbs.twimg.com/media/FpGOdAMaMAADbmg.jpg"")";;;;-5267;306;694;0
